country,improvement,lockdown
India,13.885567033994649,True
Iraq,13.79385802830841,False
Morocco,11.784443878363716,True
World,11.392340932307299,False
Libya,11.35519203815422,False
Lower-middle-income countries,11.0448911422261,False
Saudi Arabia,10.750217937463464,False
Guyana,9.973938809871266,False
Asia,9.969971736302467,False
Guatemala,9.861259134710057,False
Nepal,9.855102414121086,False
Paraguay,9.774302060705681,False
Finland,9.559121660898903,False
Mexico,9.398510688306658,False
Venezuela,9.305159487121657,False
Honduras,9.209212734823504,False
Philippines,9.019668798619731,True
Iran,8.940696467210238,False
El Salvador,8.84158128542507,True
Dominican Republic,8.787741261081852,False
Bolivia,8.751180269153284,True
Reunion,8.545320838587351,False
Tunisia,8.492683190769196,True
Cape Verde,8.25508919948022,False
Jamaica,8.20067474699302,False
Trinidad and Tobago,7.669933229374008,False
Norway,7.641977513098651,False
Malaysia,7.544029747403436,True
Singapore,7.490874356391433,False
Kazakhstan,7.293766794799094,False
Greece,7.273092756018173,True
Bangladesh,7.204801783287889,False
Bahamas,7.195287558269392,False
Canada,7.097535789913081,False
Myanmar,7.079398159613559,False
Suriname,6.797550804138136,False
Ecuador,6.580201389229428,True
Indonesia,6.494559518834836,False
Russia,6.459814730577248,False
Peru,6.41832806991494,True
Upper-middle-income countries,6.403560891347132,False
Albania,6.279858141946449,False
Belarus,6.269165121432714,False
Equatorial Guinea,6.237322886235486,False
Gabon,6.231838005245796,False
Sri Lanka,6.1986905638755605,False
Maldives,6.17120379878753,False
Uruguay,6.134279345043039,False
United Arab Emirates,6.02245383304874,False
South America,6.017483531254649,False
Germany,5.837172079000049,True
Oman,5.823171168957145,False
Namibia,5.783323300177203,False
Puerto Rico,5.726667521164184,False
Ukraine,5.573854901610759,False
Costa Rica,5.487000421736225,False
Kuwait,5.464430345053727,False
Botswana,5.448702702820264,False
Martinique,5.433819072695648,False
Iceland,5.4333468102919475,False
Algeria,5.288723903113723,False
South Africa,5.194596071492829,True
Pakistan,5.029598629558008,True
Brazil,5.020700859008393,False
Mayotte,5.019331498660832,False
Colombia,5.014003034002912,True
United States Virgin Islands,5.011980822956021,False
Jordan,4.9799243439312555,True
Chile,4.975601711116333,False
Kenya,4.937524963298047,False
Malta,4.916687204075978,True
Azerbaijan,4.907100484606059,False
Eswatini,4.906563442052278,False
Cayman Islands,4.869746547098228,False
Turkey,4.706845108704808,False
Argentina,4.625353728705857,False
Turks and Caicos Islands,4.6244383205015565,False
Gambia,4.564468506171821,False
Bermuda,4.560914657236686,False
Kosovo,4.530910343720366,False
Isle of Man,4.516385849102416,False
Africa,4.505635967459608,False
Saint Lucia,4.45892295745291,False
Guadeloupe,4.424796029903723,False
Ghana,4.4154046619469485,False
Curacao,4.373838081380336,False
Sint Maarten (Dutch part),4.364054474761838,False
Japan,4.354631474208513,False
Romania,4.350842991394495,True
Djibouti,4.325907425518676,False
Mauritania,4.289907092840775,False
Palestine,4.277540551952546,False
Bulgaria,4.273472852802384,True
Europe,4.236169762565593,False
Guernsey,4.106413222627878,False
Bosnia and Herzegovina,4.0406216876425045,True
Central African Republic,3.9804934797820275,False
Northern Mariana Islands,3.8919647572212086,False
Saint Barthelemy,3.882310041995238,False
Montserrat,3.882060019199499,False
Hungary,3.8640563783450625,True
Afghanistan,3.7868439944001127,False
European Union (27),3.7483692052010156,False
Faroe Islands,3.6965212698226546,False
Latvia,3.662291726657137,False
Poland,3.6233872813849475,True
Sao Tome and Principe,3.567574036402236,False
British Virgin Islands,3.546101427611371,False
Belize,3.5338127039939264,False
Italy,3.5217510741542504,True
Saint Martin (French part),3.4703754779800846,False
Denmark,3.470244918319293,False
Tajikistan,3.461434003263852,False
Falkland Islands,3.4419796685173814,False
North Macedonia,3.426950597255675,True
French Guiana,3.4205300899231292,False
Egypt,3.4024217001207493,False
Australia,3.399937240253345,False
South Korea,3.391357204425651,False
France,3.389659958828215,True
Slovakia,3.3655651981434627,True
High-income countries,3.3507956789483906,False
Guinea-Bissau,3.3460531888617955,False
Guam,3.3291233661335684,False
Moldova,3.302090109794102,False
Spain,3.27375966275897,True
Jersey,3.2699767991062356,False
Estonia,3.2297965090662557,False
North America,3.1543696455649664,False
Oceania,3.132299201247068,False
Monaco,3.125550212254001,False
Qatar,3.1032573350199044,False
Lebanon,3.0177041678995167,True
Dominica,2.969633540567411,False
Austria,2.951780400112817,True
Cyprus,2.8781691904628333,False
Ethiopia,2.8721785543205094,False
Haiti,2.8557630053395124,False
Grenada,2.816668267269389,False
Portugal,2.7941109207462826,True
Saint Pierre and Miquelon,2.764971535773227,False
Bahrain,2.7378427743452365,False
Antigua and Barbuda,2.7122126809276486,False
Anguilla,2.712086613201559,False
Bonaire Sint Eustatius and Saba,2.706833685615079,False
Netherlands,2.7019094225323883,False
Senegal,2.691444040590319,False
Aruba,2.6398924118131983,False
Congo,2.6183890892629473,False
Cameroon,2.5491619897832147,False
Sweden,2.5315095899527926,False
Cuba,2.4870119214573467,False
Uganda,2.463343695181203,False
Israel,2.402919075493359,True
Switzerland,2.4018869439543873,False
Zambia,2.3991891597368378,False
Guinea,2.3923537143814877,False
Bhutan,2.3759759809827883,False
Cote d'Ivoire,2.363585099080143,False
Armenia,2.3445843562548694,False
Madagascar,2.2311443551977646,False
Saint Kitts and Nevis,2.2165184295058515,False
Croatia,2.179172911818523,True
French Polynesia,2.1291273733895864,False
Nicaragua,2.091328615590394,False
United Kingdom,2.064312864232395,True
Luxembourg,2.0205697917433607,False
Serbia,1.9971100171088945,True
Liechtenstein,1.9568973824227083,False
Slovenia,1.940642824457032,True
Montenegro,1.8810868954430595,False
United States,1.878345542015732,False
Brunei,1.8719548888195974,False
Panama,1.821341844682775,False
Comoros,1.8161391417599073,False
Belgium,1.7862677851332873,True
Zimbabwe,1.7843379082472208,False
Greenland,1.7489550286646907,False
Georgia,1.7353451725239988,False
Lithuania,1.7317562038630345,True
Mauritius,1.7125247326612603,False
Rwanda,1.7100476980361974,False
Vatican,1.6837357391626016,False
Ireland,1.6301781357483673,True
Sudan,1.590449940647128,False
Angola,1.5767656416161207,False
Wallis and Futuna,1.5749197942076256,False
Mozambique,1.5695392555688983,False
Syria,1.5086735215813938,False
Czechia,1.4941200084950124,True
San Marino,1.4742861748631813,False
New Zealand,1.4733368519847037,True
Seychelles,1.4010944134556742,False
Saint Vincent and the Grenadines,1.3827155982422368,False
Mongolia,1.3176655282469467,False
Low-income countries,1.20071361486169,False
Eritrea,1.194997110232583,False
Burkina Faso,1.158015178357449,False
Lesotho,1.154413557578215,False
Andorra,1.1371904826474624,False
Malawi,1.0862543152014903,False
South Sudan,1.0733359415387007,False
Nigeria,1.0312920333377138,False
Barbados,1.0036891751441954,False
Togo,1.001803227125451,False
Liberia,0.9837134135434525,False
Mali,0.8606541233759754,False
Sierra Leone,0.8571139258095297,False
Somalia,0.7913333895115303,False
Marshall Islands,0.7456072588695839,False
Benin,0.7121715529283922,False
New Caledonia,0.5649209033353383,False
Niger,0.4954534193593668,False
Democratic Republic of Congo,0.48936346803163794,False
Gibraltar,0.4219298235004202,False
Thailand,0.3968705992318758,False
Chad,0.3468417728030064,False
Papua New Guinea,0.2897936433574203,False
Yemen,0.22126093094474056,False
Fiji,0.1848795546664088,False
East Timor,0.17698676427451634,False
Burundi,0.16828897307433344,False
Solomon Islands,0.13580845043105383,False
Cambodia,0.0777791504210542,False
Tanzania,0.053246846814630246,False
Vietnam,0.0501040722577639,False
Samoa,0.04520379563502404,False
China,0.039100897938704825,False
Vanuatu,0.030767367435196546,False
Laos,0.026320268372120342,False
Uzbekistan,0.002273168629807901,False
Kiribati,0.0,False
Nauru,0.0,False
American Samoa,0.0,False
North Korea,0.0,False
Palau,0.0,False
Niue,0.0,False
Wales,0.0,False
Taiwan,0.0,False
Pitcairn,0.0,False
